115n -- Employed labour force by area, commuting, level of education, age and year, 1987-2017

Area;Commuting;Level of education;Total 2017 Employed;- 17 2017 Employed;18 - 24 2017 Employed;25 - 34 2017 Employed;35 - 44 2017 Employed;45 - 54 2017 Employed;55 - 64 2017 Employed;65 - 74 2017 Employed;75 - 2017 Employed
Pyhäntä;Persons working outside their municipality of residence;Total;103;0;15;21;27;22;18;0;0
Pyhäranta;Persons working outside their municipality of residence;Total;655;0;56;111;148;198;131;11;0
Pälkäne;Persons working outside their municipality of residence;Total;1249;0;69;233;307;370;252;18;0
Pöytyä;Persons working outside their municipality of residence;Total;1790;0;137;358;472;470;339;14;0
Raahe;Persons working outside their municipality of residence;Total;1195;0;119;282;317;276;191;10;0
Raasepori;Persons working outside their municipality of residence;Total;3208;0;205;562;819;908;675;39;0
Raisio;Persons working outside their municipality of residence;Total;7545;0;578;1508;1837;2001;1553;68;0
Rantasalmi;Persons working outside their municipality of residence;Total;533;0;34;77;103;157;153;9;0
Ranua;Persons working outside their municipality of residence;Total;262;0;32;58;47;60;63;2;0
Rauma;Persons working outside their municipality of residence;Total;3972;0;421;994;1015;905;599;38;0
Rautalampi;Persons working outside their municipality of residence;Total;384;0;25;66;75;123;88;7;0
Rautavaara;Persons working outside their municipality of residence;Total;157;0;7;22;30;55;38;5;0
Rautjärvi;Persons working outside their municipality of residence;Total;455;0;29;53;97;145;122;9;0
Reisjärvi;Persons working outside their municipality of residence;Total;291;0;30;83;55;71;48;4;0
Riihimäki;Persons working outside their municipality of residence;Total;6363;0;499;1299;1730;1675;1109;51;0
Ristijärvi;Persons working outside their municipality of residence;Total;236;0;16;53;43;52;70;2;0
Rovaniemi;Persons working outside their municipality of residence;Total;2571;0;495;757;535;411;348;25;0
Ruokolahti;Persons working outside their municipality of residence;Total;1267;0;63;195;298;389;310;12;0
Ruovesi;Persons working outside their municipality of residence;Total;506;0;30;79;97;151;142;7;0
Rusko;Persons working outside their municipality of residence;Total;2310;0;131;393;686;689;385;26;0
Rääkkylä;Persons working outside their municipality of residence;Total;239;0;18;34;48;72;61;6;0
Saarijärvi;Persons working outside their municipality of residence;Total;958;0;75;191;212;246;220;14;0
Salla;Persons working outside their municipality of residence;Total;228;0;23;46;44;61;49;5;0
Salo;Persons working outside their municipality of residence;Total;5354;0;328;973;1420;1644;942;47;0
Saltvik;Persons working outside their municipality of residence;Total;690;0;74;131;159;164;145;17;0
Sastamala;Persons working outside their municipality of residence;Total;3120;0;197;599;806;867;614;37;0
Sauvo;Persons working outside their municipality of residence;Total;797;0;36;138;204;238;167;14;0
Savitaipale;Persons working outside their municipality of residence;Total;481;0;29;99;89;123;133;8;0
Savonlinna;Persons working outside their municipality of residence;Total;1342;0;165;293;234;331;292;27;0
Savukoski;Persons working outside their municipality of residence;Total;104;0;6;19;20;22;35;2;0
Seinäjoki;Persons working outside their municipality of residence;Total;5366;0;708;1562;1320;1027;689;60;0
Sievi;Persons working outside their municipality of residence;Total;631;0;87;146;156;146;91;5;0
